("399","504 804 754 495 594")
("761 613 269 602 379 498","761 613 269 602 379 498")
("","448 214 162 162 975")
("","68 582 822 77 66")
("","289 849 158 424 2")
("","477 771 177 583 32984")
("","983 379 737 604 981 469 469")
("","103 782 683 617 348 944")
("","280 365 282 103 442")
("","986 83 81 145 507 348 507")
("","870 984 119 568 737 48")
("450","524 903 468 261 507")
("730 962 584 766 579 880","730 962 584 766 579 880")
("","114 212 245 748 355")
("","980 301 123 61 -185")
("","761 669 967 232 0")
("","321 593 790 789 555100")
("","591 937 612 527 703 192 192")
("","408 169 404 5 71 917")
("","397 897 724 521 310")
("","856 423 192 823 655 261 655")
("","63 328 854 470 60 205")
("","855 61 997 820 589 52 52")
("354 491 191 104 740 915 740 740","354 491 191 104 740 915")
("8 834 243 423 514 449 8 834 243 423 514 449 514","8 834 243 423 514 449 449")
