("118","717 318 37 187")
("183 874 937 382 482","183 874 937 382 482")
("","855 362 688 915")
("","183 850 513 297")
("","169 266 358 0")
("","371 302 108 32101")
("","50 401 717 87 940 940")
("","835 270 166 4 125")
("","0 980 367 689")
("","604 872 212 117 72 117")
("","763 638 121 124 690")
("528","190 492 427 650")
("826 700 929 543 787","826 700 929 543 787")
("","221 731 410 1243")
("","414 388 836 352")
("","846 737 653 0")
("","77 822 197 35224")
("","322 309 140 749 959 959")
("","668 927 659 470 949")
("","798 170 553 208")
("","409 975 650 597 756 597")
("","431 796 84 207 846")
("53 513 381 250 632 250","53 513 381 250 158000")
("673 252 839","673 252 839")
("","572 738 270")

