("35","309 745 199 143 184")
("920 682 159 795 360 743","920 682 159 795 360 743")
("","327 437 918 75 692")
("","206 496 553 592 -390")
("","145 435 848 251 1")
("","770 609 698 969 663264")
("","356 25 917 867 820 629 629")
("","611 148 66 529 547 575")
("","92 781 395 997 373")
("","920 871 11 120 474 311 474")
("","721 244 273 565 377 771")
("223","6 273 402 275 141")
("904 104 723 323 985 298","904 104 723 323 985 298")
("","870 430 432 618 584")
("","194 699 28 557 -36")
("","220 892 451 845 1")
("","223 22 642 625 40095")
("","200 553 239 923 876 225 225")
("","574 99 7 6 434 717")
("","163 263 486 544 820")
("","751 392 550 202 238 566 238")
("","923 461 588 438 237 566")
("","701 991 790 293 609638")
("","766 877 846 640458")
(illegal,illegal)
